Name,GamesPlayed,MinutesPlayed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Rodney Hood,35,1023,0.875,0.875,0.875,0.825,0.825,0.725,0.425,0.4,0.3,0.225,0.1,0.075,0.225,0.375,0.475,0.575,0.65,0.775,0.7,0.65,0.525,0.575,0.55,0.55,0.825,0.825,0.8,0.775,0.725,0.675,0.575,0.325,0.175,0.175,0.25,0.2,0.4,0.475,0.5,0.55,0.525,0.525,0.575,0.525,0.475,0.5,0.525,0.475
Gordon Hayward,33,1157,0.825,0.825,0.825,0.825,0.825,0.825,0.7,0.55,0.5,0.425,0.375,0.325,0.275,0.275,0.275,0.25,0.3,0.45,0.65,0.75,0.775,0.8,0.8,0.775,0.825,0.825,0.825,0.825,0.825,0.825,0.8,0.75,0.7,0.525,0.35,0.3,0.125,0.175,0.275,0.375,0.55,0.65,0.725,0.75,0.75,0.675,0.6,0.575
Boris Diaw,31,582,0.475,0.475,0.475,0.475,0.475,0.425,0.3,0.275,0.275,0.25,0.2,0.175,0.2,0.2,0.175,0.35,0.4,0.45,0.425,0.45,0.375,0.35,0.275,0.275,0.525,0.525,0.525,0.45,0.4,0.35,0.3,0.2,0.125,0.175,0.225,0.225,0.175,0.225,0.2,0.175,0.225,0.225,0.2,0.15,0.2,0.175,0.175,0.15
Derrick Favors,25,563,0.45,0.45,0.45,0.45,0.45,0.425,0.3,0.175,0.15,0.225,0.35,0.45,0.525,0.55,0.5,0.375,0.225,0.1,0.075,0.075,0.2,0.2,0.225,0.2,0.375,0.375,0.4,0.4,0.375,0.3,0.225,0.15,0.2,0.25,0.35,0.475,0.475,0.475,0.45,0.325,0.175,0.15,0.1,0.075,0.075,0.075,0.075,0.1
Rudy Gobert,40,1333,1.0,1.0,0.975,1.0,0.95,0.95,0.925,0.925,0.85,0.625,0.325,0.05,0.025,0.025,0.15,0.425,0.675,0.85,0.95,0.925,0.85,0.775,0.75,0.75,0.975,0.975,0.95,0.95,0.95,0.95,0.9,0.875,0.75,0.575,0.325,0.15,0.2,0.225,0.375,0.6,0.8,0.85,0.85,0.825,0.775,0.725,0.675,0.55
Shelvin Mack,40,930,0.225,0.225,0.225,0.25,0.25,0.35,0.5,0.6,0.625,0.65,0.675,0.65,0.625,0.55,0.625,0.65,0.5,0.475,0.45,0.375,0.525,0.55,0.55,0.55,0.275,0.25,0.3,0.35,0.375,0.425,0.45,0.45,0.525,0.7,0.675,0.725,0.675,0.675,0.475,0.4,0.325,0.25,0.4,0.625,0.625,0.575,0.5,0.55
Joe Johnson,40,890,0.2,0.2,0.2,0.2,0.2,0.2,0.375,0.55,0.525,0.6,0.7,0.8,0.85,0.8,0.775,0.75,0.75,0.575,0.4,0.3,0.325,0.375,0.4,0.475,0.2,0.2,0.2,0.275,0.275,0.25,0.275,0.325,0.375,0.45,0.6,0.675,0.8,0.775,0.75,0.725,0.65,0.575,0.425,0.475,0.45,0.425,0.325,0.325
Joe Ingles,40,812,0.075,0.075,0.075,0.125,0.125,0.25,0.45,0.45,0.55,0.65,0.7,0.65,0.525,0.425,0.325,0.3,0.275,0.25,0.375,0.475,0.475,0.35,0.425,0.45,0.125,0.125,0.125,0.1,0.2,0.275,0.35,0.6,0.675,0.725,0.675,0.7,0.625,0.65,0.575,0.525,0.5,0.475,0.525,0.525,0.525,0.55,0.6,0.675
Trey Lyles,40,806,0.075,0.075,0.1,0.075,0.1,0.175,0.45,0.575,0.65,0.775,0.775,0.775,0.675,0.725,0.75,0.6,0.475,0.375,0.35,0.275,0.3,0.35,0.375,0.325,0.125,0.125,0.1,0.15,0.25,0.3,0.425,0.625,0.7,0.75,0.75,0.7,0.7,0.625,0.55,0.45,0.325,0.35,0.35,0.375,0.3,0.325,0.4,0.325
Dante Exum,29,597,0.4,0.4,0.4,0.375,0.375,0.3,0.225,0.175,0.25,0.25,0.3,0.35,0.375,0.4,0.35,0.325,0.375,0.325,0.35,0.325,0.2,0.2,0.175,0.2,0.4,0.4,0.425,0.325,0.25,0.2,0.2,0.25,0.35,0.325,0.325,0.35,0.325,0.325,0.4,0.3,0.3,0.375,0.325,0.3,0.275,0.275,0.3,0.35
George Hill,16,498,0.4,0.4,0.4,0.4,0.4,0.35,0.325,0.275,0.225,0.125,0.05,0.05,0.05,0.075,0.075,0.175,0.25,0.275,0.275,0.325,0.325,0.35,0.35,0.375,0.35,0.375,0.35,0.375,0.375,0.375,0.35,0.3,0.275,0.15,0.05,0.025,0.075,0.075,0.15,0.275,0.325,0.35,0.325,0.25,0.275,0.275,0.25,0.2
Jeff Withey,24,220,0.0,0.0,0.0,0.0,0.025,0.025,0.025,0.025,0.025,0.05,0.25,0.45,0.45,0.425,0.35,0.2,0.05,0.05,0.025,0.025,0.075,0.1,0.1,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.1,0.125,0.225,0.25,0.275,0.225,0.175,0.125,0.1,0.05,0.075,0.1,0.15,0.2,0.225,0.275
Raul Neto,20,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.075,0.125,0.15,0.15,0.15,0.175,0.125,0.075,0.075,0.05,0.025,0.05,0.05,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.075,0.1,0.125,0.1,0.1,0.2,0.2,0.125,0.1,0.1,0.125,0.15,0.175,0.1,0.025,0.05,0.1,0.2,0.275
Joel Bolomboy,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.15,0.2
Alec Burks,4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.05,0.05,0.05,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.0
