Name,GamesPlayed,MinutesPlayed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Stephen Curry,63,2152,1.0,1.0,1.0,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,1.0,1.0,1.0,0.9841269841269841,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.047619047619047616,0.6984126984126984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9682539682539683,0.9365079365079365,0.9206349206349206,0.031746031746031744,0.015873015873015872,0.0,0.031746031746031744,0.1111111111111111,0.38095238095238093,0.6507936507936508,0.7142857142857143,0.6825396825396826,0.6190476190476191,0.5714285714285714,0.49206349206349204
Kelly Oubre Jr.,55,1687,0.9090909090909091,0.8909090909090909,0.8909090909090909,0.8909090909090909,0.8909090909090909,0.8909090909090909,0.6909090909090909,0.45454545454545453,0.43636363636363634,0.41818181818181815,0.34545454545454546,0.38181818181818183,0.5818181818181818,0.5818181818181818,0.5818181818181818,0.6,0.6363636363636364,0.6181818181818182,0.5818181818181818,0.5818181818181818,0.6545454545454545,0.7818181818181819,0.8909090909090909,0.9090909090909091,0.9090909090909091,0.8909090909090909,0.8909090909090909,0.8727272727272727,0.8545454545454545,0.8,0.7272727272727273,0.5636363636363636,0.509090909090909,0.4909090909090909,0.4,0.43636363636363634,0.4909090909090909,0.4727272727272727,0.45454545454545453,0.45454545454545453,0.4727272727272727,0.43636363636363634,0.5272727272727272,0.5272727272727272,0.5272727272727272,0.509090909090909,0.43636363636363634,0.41818181818181815
Andrew Wiggins,71,2364,1.0,1.0,1.0,0.9859154929577465,0.971830985915493,0.9436619718309859,0.7183098591549296,0.5633802816901409,0.43661971830985913,0.352112676056338,0.4507042253521127,0.4084507042253521,0.647887323943662,0.647887323943662,0.6619718309859155,0.6619718309859155,0.7183098591549296,0.7323943661971831,0.5211267605633803,0.4647887323943662,0.6197183098591549,0.8028169014084507,0.8591549295774648,0.8450704225352113,1.0,1.0,1.0,1.0,1.0,0.9859154929577465,0.7323943661971831,0.5774647887323944,0.4647887323943662,0.29577464788732394,0.2535211267605634,0.323943661971831,0.6197183098591549,0.6197183098591549,0.647887323943662,0.647887323943662,0.704225352112676,0.5915492957746479,0.5070422535211268,0.5915492957746479,0.676056338028169,0.6338028169014085,0.5633802816901409,0.5070422535211268
Draymond Green,63,1982,1.0,1.0,1.0,1.0,1.0,0.9841269841269841,0.9682539682539683,0.9365079365079365,0.8571428571428571,0.7936507936507936,0.4444444444444444,0.31746031746031744,0.031746031746031744,0.031746031746031744,0.047619047619047616,0.06349206349206349,0.2222222222222222,0.4444444444444444,0.7777777777777778,0.9523809523809523,0.9206349206349206,0.9523809523809523,0.9523809523809523,0.8888888888888888,0.9523809523809523,0.9523809523809523,0.9682539682539683,0.9682539682539683,0.9523809523809523,0.9365079365079365,0.9365079365079365,0.9206349206349206,0.7936507936507936,0.7777777777777778,0.5238095238095238,0.3492063492063492,0.0,0.0,0.015873015873015872,0.031746031746031744,0.25396825396825395,0.47619047619047616,0.6984126984126984,0.7301587301587301,0.7142857142857143,0.6031746031746031,0.5555555555555556,0.47619047619047616
Kevon Looney,61,1161,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5737704918032787,0.5573770491803278,0.5737704918032787,0.4426229508196721,0.3770491803278688,0.36065573770491804,0.4098360655737705,0.5409836065573771,0.639344262295082,0.4918032786885246,0.5081967213114754,0.5081967213114754,0.47540983606557374,0.2459016393442623,0.13114754098360656,0.09836065573770492,0.16393442622950818,0.2786885245901639,0.2786885245901639,0.26229508196721313,0.2459016393442623,0.5245901639344263,0.5245901639344263,0.5081967213114754,0.5409836065573771,0.5901639344262295,0.4918032786885246,0.36065573770491804,0.29508196721311475,0.36065573770491804,0.4262295081967213,0.47540983606557374,0.5901639344262295,0.47540983606557374,0.47540983606557374,0.45901639344262296,0.3770491803278688,0.2459016393442623,0.13114754098360656,0.11475409836065574,0.13114754098360656,0.21311475409836064,0.26229508196721313,0.21311475409836064,0.14754098360655737
Kent Bazemore,67,1333,0.26865671641791045,0.26865671641791045,0.2835820895522388,0.2835820895522388,0.2835820895522388,0.31343283582089554,0.5223880597014925,0.7164179104477612,0.7014925373134329,0.6865671641791045,0.6716417910447762,0.6865671641791045,0.417910447761194,0.43283582089552236,0.40298507462686567,0.373134328358209,0.31343283582089554,0.26865671641791045,0.2835820895522388,0.2835820895522388,0.2537313432835821,0.2537313432835821,0.23880597014925373,0.2835820895522388,0.26865671641791045,0.2835820895522388,0.2835820895522388,0.2835820895522388,0.2835820895522388,0.2835820895522388,0.44776119402985076,0.582089552238806,0.6119402985074627,0.6567164179104478,0.7164179104477612,0.6716417910447762,0.4925373134328358,0.4925373134328358,0.4626865671641791,0.43283582089552236,0.34328358208955223,0.23880597014925373,0.23880597014925373,0.26865671641791045,0.3283582089552239,0.373134328358209,0.373134328358209,0.417910447761194
Juan Toscano-Anderson,53,1107,0.3018867924528302,0.3018867924528302,0.3018867924528302,0.3018867924528302,0.3018867924528302,0.33962264150943394,0.41509433962264153,0.5283018867924528,0.5660377358490566,0.4339622641509434,0.41509433962264153,0.39622641509433965,0.4528301886792453,0.4528301886792453,0.4339622641509434,0.41509433962264153,0.41509433962264153,0.4339622641509434,0.4716981132075472,0.4716981132075472,0.4339622641509434,0.4339622641509434,0.39622641509433965,0.4339622641509434,0.33962264150943394,0.33962264150943394,0.33962264150943394,0.3584905660377358,0.3584905660377358,0.39622641509433965,0.5094339622641509,0.6226415094339622,0.6037735849056604,0.5283018867924528,0.4528301886792453,0.4339622641509434,0.4716981132075472,0.4528301886792453,0.41509433962264153,0.39622641509433965,0.39622641509433965,0.4716981132075472,0.41509433962264153,0.49056603773584906,0.41509433962264153,0.4716981132075472,0.4716981132075472,0.49056603773584906
Damion Lee,57,1079,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.03508771929824561,0.07017543859649122,0.14035087719298245,0.22807017543859648,0.3684210526315789,0.5964912280701754,0.6491228070175439,0.8245614035087719,0.8245614035087719,0.8421052631578947,0.8596491228070176,0.7894736842105263,0.6842105263157895,0.5614035087719298,0.5263157894736842,0.40350877192982454,0.2982456140350877,0.3157894736842105,0.3157894736842105,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.03508771929824561,0.07017543859649122,0.07017543859649122,0.08771929824561403,0.22807017543859648,0.38596491228070173,0.42105263157894735,0.543859649122807,0.6666666666666666,0.8245614035087719,0.8245614035087719,0.8421052631578947,0.7719298245614035,0.6666666666666666,0.5789473684210527,0.42105263157894735,0.3157894736842105,0.2807017543859649,0.2807017543859649,0.3333333333333333,0.43859649122807015
Jordan Poole,51,988,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.1568627450980392,0.1568627450980392,0.13725490196078433,0.11764705882352941,0.17647058823529413,0.21568627450980393,0.3333333333333333,0.3137254901960784,0.3333333333333333,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8235294117647058,0.7450980392156863,0.5098039215686274,0.3333333333333333,0.2549019607843137,0.2549019607843137,0.21568627450980393,0.19607843137254902,0.13725490196078433,0.13725490196078433,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.11764705882352941,0.1568627450980392,0.1568627450980392,0.2549019607843137,0.37254901960784315,0.4117647058823529,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7450980392156863,0.7058823529411765,0.6862745098039216,0.6274509803921569,0.5882352941176471,0.49019607843137253,0.5098039215686274,0.5294117647058824,0.5882352941176471
James Wiseman,39,836,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.6410256410256411,0.5897435897435898,0.5641025641025641,0.5641025641025641,0.38461538461538464,0.28205128205128205,0.28205128205128205,0.28205128205128205,0.15384615384615385,0.1282051282051282,0.1282051282051282,0.1794871794871795,0.23076923076923078,0.358974358974359,0.5128205128205128,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5641025641025641,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.6410256410256411,0.5384615384615384,0.5641025641025641,0.5128205128205128,0.48717948717948717,0.358974358974359,0.2564102564102564,0.23076923076923078,0.20512820512820512,0.23076923076923078,0.20512820512820512,0.20512820512820512,0.23076923076923078,0.3333333333333333,0.4358974358974359,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.41025641025641024,0.41025641025641024,0.38461538461538464
